12	10	E	-6848865.330347113	200
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	3.779409434201037E-188
probinit	12	0.0
emissionprobs	1	3	H3k36me3	1	5.680917780760057E-4
emissionprobs	1	4	H3k4me1	0	0.9997325161670622
emissionprobs	1	4	H3k4me1	1	2.6748383293785053E-4
emissionprobs	1	5	H3k4me2	0	0.9998391750980038
emissionprobs	1	5	H3k4me2	1	1.6082490199609558E-4
emissionprobs	1	6	H3k4me3	0	0.9999000337915089
emissionprobs	1	6	H3k4me3	1	9.996620849108079E-5
emissionprobs	1	7	H3k79me2	0	0.9999856067832112
emissionprobs	1	7	H3k79me2	1	1.4393216788755407E-5
emissionprobs	1	8	H3k9ac	0	0.9998780097129942
emissionprobs	1	8	H3k9ac	1	1.2199028700579798E-4
emissionprobs	1	9	H3k9me1	0	0.9988230232286678
emissionprobs	1	9	H3k9me1	1	0.001176976771332209
emissionprobs	2	0	H2az	0	0.9952711909627904
emissionprobs	2	0	H2az	1	0.004728809037209642
emissionprobs	2	1	H3k27ac	0	0.9986055879997042
emissionprobs	2	1	H3k27ac	1	0.0013944120002958081
emissionprobs	2	2	H3k27me3	0	0.632135876594097
emissionprobs	2	2	H3k27me3	1	0.36786412340590297
emissionprobs	2	3	H3k36me3	0	0.9995650871126651
emissionprobs	2	3	H3k36me3	1	4.349128873348888E-4
emissionprobs	2	4	H3k4me1	0	0.9979198903971491
emissionprobs	2	4	H3k4me1	1	0.002080109602850892
emissionprobs	2	5	H3k4me2	0	0.9992832727614696
emissionprobs	2	5	H3k4me2	1	7.167272385303329E-4
emissionprobs	2	6	H3k4me3	0	0.9999155087307584
emissionprobs	2	6	H3k4me3	1	8.44912692414999E-5
emissionprobs	2	7	H3k79me2	0	0.9999174966743661
emissionprobs	2	7	H3k79me2	1	8.250332563394084E-5
emissionprobs	2	8	H3k9ac	0	0.9996740278303611
emissionprobs	2	8	H3k9ac	1	3.259721696389114E-4
emissionprobs	2	9	H3k9me1	0	0.9971343592578541
emissionprobs	2	9	H3k9me1	1	0.0028656407421458942
emissionprobs	3	0	H2az	0	0.583547819806248
emissionprobs	3	0	H2az	1	0.4164521801937519
emissionprobs	3	1	H3k27ac	0	0.9389152505905022
